ssn,type,count_type
167-21-4986,jcb,2
167-21-4986,visa-electron,1
167-68-5288,diners-club-international,1
167-68-5288,instapayment,1
167-78-2679,jcb,2
167-78-2679,switch,1
168-02-8269,jcb,4
168-66-1137,jcb,1
168-66-1137,mastercard,1
168-66-1137,visa-electron,1
168-91-5336,diners-club-enroute,1
168-91-5336,switch,1
169-08-1607,bankcard,1
169-08-1607,china-unionpay,1
169-08-1607,diners-club-carte-blanche,1
169-33-6050,jcb,1
169-33-6050,switch,1
170-01-0406,bankcard,1
170-01-0406,diners-club-enroute,1
170-11-9258,maestro,1
170-11-9258,switch,1
171-20-8081,jcb,3
171-65-5913,bankcard,1
171-65-5913,mastercard,1
171-80-2958,jcb,1
171-80-2958,visa,1
172-42-6802,jcb,2
172-53-1061,bankcard,1
172-53-1061,jcb,1
173-11-0251,jcb,1
173-11-0251,visa-electron,2
173-43-3852,jcb,1
173-43-3852,visa-electron,1
173-98-4995,americanexpress,1
173-98-4995,mastercard,1
174-21-5477,jcb,2
174-74-0316,maestro,1
174-74-0316,mastercard,1
176-08-1774,americanexpress,1
176-08-1774,laser,1
176-45-1358,diners-club-carte-blanche,1
176-45-1358,jcb,1
176-45-1358,maestro,1
176-85-5122,bankcard,1
176-85-5122,jcb,1
176-85-5122,maestro,1
177-32-4323,jcb,1
177-32-4323,switch,1
177-40-9442,jcb,2
177-83-8766,diners-club-enroute,1
177-83-8766,visa-electron,1
178-28-5110,jcb,1
178-28-5110,switch,1
178-44-5523,jcb,1
178-44-5523,maestro,1
178-44-5523,visa,1
179-35-6052,diners-club-international,1
179-35-6052,jcb,1
179-42-9949,jcb,1
179-42-9949,laser,1
179-42-9949,switch,1
179-89-9669,diners-club-carte-blanche,1
179-89-9669,jcb,1
182-31-4355,americanexpress,1
182-31-4355,diners-club-carte-blanche,1
182-94-2844,jcb,1
182-94-2844,visa,1
184-96-1849,jcb,3
185-06-7548,instapayment,1
185-06-7548,jcb,1
185-24-1696,china-unionpay,1
185-24-1696,diners-club-enroute,1
185-24-1696,jcb,1
186-10-6623,bankcard,1
186-10-6623,maestro,1
187-12-0043,diners-club-carte-blanche,1
187-12-0043,jcb,1
187-85-6479,jcb,2
188-05-8202,jcb,1
188-05-8202,visa,1
188-34-4182,diners-club-enroute,1
188-34-4182,jcb,2
188-41-3821,mastercard,2
188-53-4019,americanexpress,1
188-53-4019,mastercard,1
189-39-4254,diners-club-enroute,1
189-39-4254,instapayment,1
191-05-1376,bankcard,1
191-05-1376,jcb,1
193-78-7505,americanexpress,1
193-78-7505,jcb,1
193-78-7505,mastercard,1
195-21-8010,jcb,2
196-14-8188,laser,1
196-14-8188,switch,1
196-15-1225,jcb,1
196-15-1225,mastercard,1
197-39-8086,china-unionpay,1
197-39-8086,diners-club-carte-blanche,1
198-71-2261,china-unionpay,1
198-71-2261,mastercard,1
198-98-8991,jcb,1
198-98-8991,maestro,1
201-35-4974,americanexpress,1
201-35-4974,jcb,1
201-54-3599,bankcard,2
203-03-9521,diners-club-carte-blanche,1
203-03-9521,diners-club-enroute,1
203-03-9521,visa-electron,1
203-50-9348,bankcard,1
203-50-9348,jcb,1
203-50-9348,switch,1
203-50-9348,visa-electron,1
203-55-8778,bankcard,1
203-55-8778,jcb,1
204-93-9865,jcb,2
205-06-0052,china-unionpay,1
205-06-0052,solo,1
205-50-9753,americanexpress,1
205-50-9753,diners-club-carte-blanche,1
205-85-3807,diners-club-enroute,1
205-85-3807,jcb,1
206-49-9677,diners-club-carte-blanche,1
206-49-9677,jcb,1
206-49-9677,mastercard,1
206-60-2520,jcb,2
206-60-2520,switch,1
207-28-2785,diners-club-carte-blanche,1
207-28-2785,mastercard,1
208-17-5533,diners-club-carte-blanche,1
208-17-5533,maestro,1
208-95-6535,bankcard,1
208-95-6535,mastercard,1
209-50-3367,mastercard,1
209-50-3367,visa,1
210-29-4426,china-unionpay,1
210-29-4426,switch,1
210-39-6758,jcb,3
210-99-9077,bankcard,1
210-99-9077,jcb,1
211-42-6468,laser,1
211-42-6468,mastercard,1
213-44-9276,jcb,2
214-23-6110,jcb,2
214-27-8582,jcb,2
214-60-9715,china-unionpay,2
214-63-8147,jcb,2
215-46-5305,diners-club-enroute,1
215-46-5305,visa-electron,1
216-38-2761,americanexpress,1
216-38-2761,diners-club-enroute,1
216-38-2761,jcb,1
217-45-1462,jcb,2
218-63-6900,jcb,2
218-68-8531,diners-club-international,1
218-68-8531,maestro,2
219-43-9894,jcb,2
219-93-2357,diners-club-carte-blanche,1
219-93-2357,laser,1
219-93-2357,maestro,1
220-04-2930,diners-club-carte-blanche,1
220-04-2930,jcb,1
220-94-7394,jcb,1
220-94-7394,switch,1
221-46-3569,diners-club-us-ca,1
221-46-3569,jcb,2
222-57-5926,bankcard,1
222-57-5926,visa,1
223-15-0068,jcb,1
223-15-0068,mastercard,1
223-31-7942,jcb,1
223-31-7942,maestro,1
223-44-3801,china-unionpay,1
223-44-3801,diners-club-us-ca,1
224-43-7529,diners-club-enroute,1
224-43-7529,mastercard,1
224-62-6918,americanexpress,1
224-62-6918,china-unionpay,1
224-62-6918,maestro,1
224-62-6918,mastercard,1
224-81-3655,diners-club-international,1
224-81-3655,mastercard,1
225-26-0025,jcb,1
225-26-0025,laser,1
225-54-7436,jcb,1
225-54-7436,maestro,1
225-75-9286,diners-club-international,1
225-75-9286,visa,1
227-34-9436,jcb,2
227-34-9436,maestro,1
227-34-9436,visa,1
227-36-2023,jcb,2
227-58-2279,americanexpress,1
227-58-2279,jcb,1
227-58-2279,maestro,1
227-90-4320,jcb,2
227-90-4320,switch,1
228-02-4615,china-unionpay,1
228-02-4615,diners-club-enroute,1
228-02-4615,instapayment,1
228-55-5606,diners-club-enroute,1
228-55-5606,mastercard,1
228-63-8130,maestro,1
228-63-8130,switch,1
229-23-4984,diners-club-carte-blanche,1
229-23-4984,jcb,1
229-23-4984,mastercard,1
229-95-2558,americanexpress,1
229-95-2558,mastercard,1
230-10-4559,jcb,2
231-63-1687,jcb,1
231-63-1687,mastercard,1
233-18-9261,china-unionpay,1
233-18-9261,jcb,1
233-80-3904,jcb,1
233-80-3904,maestro,1
234-43-6763,jcb,1
234-43-6763,visa-electron,1
234-98-7617,diners-club-carte-blanche,1
234-98-7617,instapayment,1
235-62-8440,maestro,1
235-62-8440,mastercard,1
235-96-6205,jcb,1
235-96-6205,visa-electron,1
236-68-9360,diners-club-enroute,1
236-68-9360,jcb,1
237-09-0949,jcb,1
237-09-0949,maestro,1
237-09-0949,visa-electron,1
238-14-3966,china-unionpay,1
238-14-3966,visa,1
238-18-0222,jcb,1
238-18-0222,mastercard,1
239-51-5534,americanexpress,1
239-51-5534,maestro,1
241-36-7739,bankcard,1
241-36-7739,diners-club-carte-blanche,1
241-39-0383,jcb,2
242-50-4531,jcb,1
242-50-4531,visa-electron,1
242-74-3734,jcb,1
242-74-3734,switch,1
243-29-3379,jcb,1
243-29-3379,switch,1
244-92-3808,jcb,2
246-61-5502,mastercard,1
246-61-5502,solo,1
247-24-9589,bankcard,1
247-24-9589,diners-club-carte-blanche,1
248-61-2615,jcb,2
248-82-2198,jcb,1
248-82-2198,laser,1
248-98-7102,diners-club-enroute,1
248-98-7102,jcb,1
249-92-4924,mastercard,1
249-92-4924,solo,1
249-92-4924,visa-electron,1
250-51-7537,jcb,1
250-51-7537,switch,1
251-07-8595,visa,1
251-07-8595,visa-electron,1
252-07-3400,americanexpress,1
252-07-3400,jcb,1
252-13-3921,diners-club-carte-blanche,1
252-13-3921,jcb,1
254-21-0222,diners-club-international,1
254-21-0222,jcb,2
254-21-0222,switch,1
254-64-4830,americanexpress,1
254-64-4830,jcb,1
255-36-3574,jcb,2
255-84-4645,jcb,1
255-84-4645,switch,1
255-89-8289,jcb,1
255-89-8289,mastercard,1
256-84-5901,jcb,1
256-84-5901,maestro,1
256-95-7385,jcb,1
256-95-7385,maestro,1
256-95-7385,solo,1
257-09-8495,diners-club-enroute,1
257-09-8495,jcb,2
257-43-7419,jcb,2
257-73-4528,china-unionpay,1
257-73-4528,laser,1
258-02-1049,jcb,1
258-02-1049,maestro,2
258-02-1049,switch,1
259-03-4483,china-unionpay,1
259-03-4483,jcb,1
259-55-2434,jcb,1
259-55-2434,mastercard,1
260-01-3842,bankcard,1
260-01-3842,maestro,1
261-81-1858,bankcard,1
261-81-1858,jcb,1
262-02-0405,jcb,1
262-02-0405,mastercard,1
262-02-0405,visa-electron,1
262-47-7588,jcb,1
262-47-7588,mastercard,1
262-86-4376,diners-club-enroute,1
262-86-4376,maestro,1
264-01-6383,jcb,2
264-37-1812,jcb,1
264-37-1812,mastercard,1
264-37-1812,switch,1
264-76-9262,jcb,2
264-78-1824,diners-club-international,1
264-78-1824,laser,1
265-99-4505,jcb,1
265-99-4505,mastercard,1
266-09-9190,jcb,1
266-09-9190,switch,1
266-28-9958,jcb,1
266-28-9958,mastercard,1
267-16-7255,americanexpress,1
267-16-7255,diners-club-enroute,1
267-52-2301,bankcard,1
267-52-2301,diners-club-carte-blanche,1
267-80-0206,jcb,1
267-80-0206,mastercard,1
267-92-3472,americanexpress,1
267-92-3472,diners-club-enroute,1
267-92-3472,jcb,2
268-93-6777,diners-club-carte-blanche,1
268-93-6777,mastercard,1
269-10-9231,laser,1
269-10-9231,mastercard,1
269-11-4062,jcb,1
269-11-4062,switch,1
269-11-4062,visa-electron,1
270-23-9944,diners-club-enroute,1
270-23-9944,jcb,2
270-44-9597,diners-club-us-ca,1
270-44-9597,maestro,1
270-65-4332,china-unionpay,1
270-65-4332,mastercard,1
271-10-5866,americanexpress,1
271-10-5866,maestro,1
271-85-9755,jcb,2
271-85-9755,mastercard,1
271-87-0329,jcb,2
272-57-2357,jcb,1
272-57-2357,switch,1
273-07-7161,jcb,2
273-24-3423,diners-club-enroute,1
273-24-3423,laser,1
273-79-5654,jcb,2
274-38-1963,jcb,2
274-38-1963,laser,1
274-60-4742,diners-club-enroute,1
274-60-4742,jcb,1
275-12-5263,china-unionpay,1
275-12-5263,jcb,2
275-67-6846,diners-club-carte-blanche,1
275-67-6846,diners-club-enroute,1
275-67-6846,visa,1
277-14-1471,china-unionpay,1
277-14-1471,jcb,1
277-14-1471,switch,1
278-01-7734,solo,1
278-01-7734,visa-electron,1
278-10-4290,bankcard,1
278-10-4290,china-unionpay,1
278-10-4290,jcb,2
278-11-5524,jcb,1
278-11-5524,maestro,1
278-68-0297,bankcard,1
278-68-0297,jcb,1
279-32-3651,americanexpress,1
279-32-3651,jcb,1
280-07-7998,china-unionpay,1
280-07-7998,jcb,1
281-74-0770,diners-club-enroute,1
281-74-0770,mastercard,1
281-90-6815,jcb,1
281-90-6815,mastercard,2
281-92-8760,jcb,1
281-92-8760,laser,1
281-92-8760,switch,1
282-17-8238,switch,1
282-17-8238,visa,1
283-13-6146,jcb,1
283-13-6146,switch,2
283-58-9135,instapayment,1
283-58-9135,jcb,1
283-94-6126,jcb,1
283-94-6126,visa-electron,1
284-28-2775,bankcard,1
284-28-2775,china-unionpay,1
284-46-2446,americanexpress,1
284-46-2446,jcb,1
284-66-7959,jcb,1
284-66-7959,switch,1
284-78-8202,americanexpress,1
284-78-8202,jcb,2
284-78-8202,switch,1
284-91-8655,jcb,2
285-07-4158,bankcard,1
285-07-4158,diners-club-enroute,1
285-70-2093,americanexpress,1
285-70-2093,diners-club-carte-blanche,1
285-70-2093,maestro,1
285-70-2093,switch,1
286-46-6669,maestro,1
286-46-6669,visa-electron,1
286-65-1247,bankcard,1
286-65-1247,jcb,1
286-93-6635,jcb,2
286-93-6635,visa-electron,1
287-19-4894,maestro,1
287-19-4894,mastercard,1
288-07-4075,jcb,1
288-07-4075,laser,1
288-34-2395,jcb,3
288-85-6923,switch,1
288-85-6923,visa,1
288-98-7108,china-unionpay,1
288-98-7108,switch,1
289-38-8390,jcb,1
289-38-8390,visa-electron,1
290-58-3064,jcb,2
290-58-3064,solo,1
292-40-3976,mastercard,3
293-22-3608,diners-club-carte-blanche,1
293-22-3608,mastercard,1
294-25-6619,bankcard,1
294-25-6619,jcb,1
294-25-6619,visa-electron,1
294-48-7876,diners-club-us-ca,1
294-48-7876,jcb,1
294-62-9102,americanexpress,1
294-62-9102,bankcard,1
294-90-5937,americanexpress,1
294-90-5937,laser,1
296-38-4827,jcb,2
297-99-3743,diners-club-carte-blanche,1
297-99-3743,jcb,1
297-99-3743,maestro,1
299-94-2257,switch,1
299-94-2257,visa,1
300-72-3854,instapayment,1
300-72-3854,jcb,1
300-96-2032,jcb,2
300-97-7985,diners-club-international,1
300-97-7985,maestro,1
301-37-4455,jcb,2
301-94-0455,americanexpress,1
301-94-0455,jcb,1
302-54-0328,jcb,2
302-54-0328,switch,1
302-79-6947,diners-club-carte-blanche,1
302-79-6947,jcb,1
302-79-6947,switch,1
303-02-4432,china-unionpay,1
303-02-4432,jcb,1
303-29-4320,jcb,2
303-58-9838,jcb,2
304-63-0624,jcb,2
304-88-8903,jcb,1
304-88-8903,switch,1
305-77-5908,diners-club-carte-blanche,1
305-77-5908,maestro,1
305-77-5908,mastercard,1
305-82-1181,diners-club-us-ca,1
305-82-1181,jcb,1
306-53-3999,diners-club-carte-blanche,1
306-53-3999,maestro,1
307-83-5141,diners-club-carte-blanche,1
307-83-5141,jcb,1
307-83-5141,solo,1
308-21-9174,diners-club-enroute,1
308-21-9174,jcb,2
308-49-8963,jcb,2
308-56-5739,americanexpress,1
308-56-5739,diners-club-enroute,1
308-56-5739,mastercard,1
308-56-5739,visa-electron,1
308-86-0741,jcb,2
309-44-6492,jcb,2
309-60-6750,jcb,2
310-98-9288,diners-club-us-ca,1
310-98-9288,switch,1
311-01-5259,china-unionpay,1
311-01-5259,jcb,1
311-64-0678,jcb,1
311-64-0678,visa,1
312-12-8574,diners-club-us-ca,1
312-12-8574,jcb,1
312-92-9081,americanexpress,1
312-92-9081,visa-electron,1
313-30-0130,diners-club-carte-blanche,1
313-30-0130,jcb,2
313-30-0130,solo,1
313-54-3067,jcb,2
313-82-0127,jcb,2
314-74-7504,diners-club-enroute,1
314-74-7504,jcb,1
314-74-7504,maestro,1
314-78-6792,americanexpress,1
314-78-6792,jcb,2
315-47-5414,jcb,2
315-86-6415,jcb,1
315-86-6415,mastercard,1
316-41-1961,china-unionpay,1
316-41-1961,maestro,1
317-48-7374,americanexpress,1
317-48-7374,jcb,1
317-72-4850,jcb,2
317-72-4850,solo,1
318-07-9478,jcb,1
318-07-9478,laser,1
318-79-6353,jcb,2
318-91-9282,diners-club-us-ca,1
318-91-9282,jcb,1
319-16-5656,diners-club-enroute,1
319-16-5656,jcb,1
319-41-6569,bankcard,1
319-41-6569,instapayment,1
319-41-6569,jcb,1
319-58-2827,diners-club-enroute,1
319-58-2827,jcb,1
319-58-2827,maestro,1
319-59-5367,diners-club-carte-blanche,1
319-59-5367,jcb,1
321-03-0398,americanexpress,1
321-03-0398,jcb,1
321-03-0398,mastercard,1
321-51-8557,jcb,1
321-51-8557,maestro,1
321-92-8764,bankcard,1
321-92-8764,jcb,1
321-92-8764,mastercard,1
322-77-1816,jcb,2
323-84-2652,maestro,1
323-84-2652,visa,1
323-89-3407,jcb,2
323-89-3407,mastercard,1
324-96-2021,bankcard,1
324-96-2021,jcb,1
324-99-8986,americanexpress,1
324-99-8986,instapayment,1
327-28-3483,jcb,2
327-64-6558,diners-club-enroute,1
327-64-6558,jcb,1
327-65-3917,switch,1
327-65-3917,visa-electron,1
330-19-9048,diners-club-us-ca,1
330-19-9048,laser,1
330-19-9048,switch,1
330-28-6115,mastercard,1
330-28-6115,visa-electron,1
330-41-1669,jcb,2
330-50-7233,jcb,2
330-66-5115,americanexpress,1
330-66-5115,maestro,1
331-06-2443,jcb,2
331-15-5784,bankcard,1
331-15-5784,diners-club-enroute,1
332-36-3186,jcb,2
332-36-3186,maestro,1
332-36-3186,mastercard,1
332-65-5025,americanexpress,1
332-65-5025,jcb,1
333-17-4247,jcb,2
333-17-4247,mastercard,1
333-35-4936,bankcard,1
333-35-4936,diners-club-us-ca,1
333-43-8426,jcb,1
333-43-8426,maestro,1
333-43-8426,visa,1
333-61-1189,china-unionpay,1
333-61-1189,solo,1
334-21-6210,china-unionpay,1
334-21-6210,diners-club-enroute,1
334-89-3174,jcb,1
334-89-3174,switch,1
334-94-7040,instapayment,1
334-94-7040,jcb,1
336-45-5543,jcb,1
336-45-5543,visa-electron,1
336-84-8535,jcb,1
336-84-8535,mastercard,1
336-84-8535,switch,1
337-79-0925,diners-club-enroute,1
337-79-0925,jcb,2
339-77-7971,jcb,1
339-77-7971,mastercard,1
340-89-8108,jcb,2
341-14-8801,jcb,2
341-14-8801,visa,1
341-37-0536,jcb,2
341-70-8053,bankcard,1
341-70-8053,maestro,1
342-16-7081,instapayment,1
342-16-7081,mastercard,1
342-94-4674,jcb,2
342-96-1858,americanexpress,1
342-96-1858,diners-club-carte-blanche,1
342-96-1858,jcb,1
343-28-5333,diners-club-carte-blanche,1
343-28-5333,diners-club-international,1
344-42-0106,laser,1
344-42-0106,mastercard,1
344-42-0106,solo,1
345-33-9157,jcb,2
345-33-9157,maestro,1
346-30-0419,diners-club-enroute,1
346-30-0419,jcb,1
346-30-0419,laser,1
346-71-2626,jcb,2
346-71-2626,maestro,1
347-81-1038,china-unionpay,1
347-81-1038,instapayment,1
349-13-9658,china-unionpay,1
349-13-9658,jcb,1
350-56-3187,americanexpress,1
350-56-3187,jcb,1
350-56-3187,visa,1
351-02-1126,jcb,1
351-02-1126,switch,1
353-19-7489,bankcard,1
353-19-7489,jcb,1
354-03-2958,americanexpress,1
354-03-2958,jcb,1
354-16-8525,jcb,1
354-16-8525,visa,1
354-18-5904,china-unionpay,1
354-18-5904,maestro,1
355-07-5854,jcb,1
355-07-5854,visa-electron,1
356-02-1143,jcb,1
356-02-1143,visa-electron,1
356-48-1439,diners-club-enroute,1
356-48-1439,jcb,1
356-74-3587,jcb,3
356-78-0144,jcb,2
356-82-7799,americanexpress,1
356-82-7799,diners-club-international,1
356-82-7799,switch,1
357-73-1634,diners-club-enroute,1
357-73-1634,jcb,1
357-73-1634,visa-electron,1
358-15-5655,jcb,1
358-15-5655,maestro,1
358-15-5655,mastercard,1
358-48-3574,instapayment,1
358-48-3574,mastercard,1
358-82-2548,jcb,2
358-97-9300,americanexpress,1
358-97-9300,switch,1
359-08-7819,mastercard,2
360-54-3322,americanexpress,1
360-54-3322,jcb,1
360-90-9356,jcb,2
361-47-1279,diners-club-carte-blanche,1
361-47-1279,jcb,1
361-65-7440,jcb,2
361-70-7580,jcb,2
361-70-7580,mastercard,1
363-94-7898,china-unionpay,1
363-94-7898,diners-club-enroute,1
365-16-9891,diners-club-enroute,1
365-16-9891,jcb,1
365-16-9891,visa-electron,1
365-22-6947,jcb,1
365-22-6947,mastercard,1
366-29-8454,bankcard,1
366-29-8454,mastercard,2
366-63-4794,jcb,2
366-97-0623,bankcard,1
366-97-0623,jcb,1
366-97-0623,visa,1
367-07-6490,diners-club-carte-blanche,1
367-07-6490,jcb,2
368-56-2602,bankcard,1
368-56-2602,jcb,1
368-56-2602,laser,1
369-09-2040,china-unionpay,1
369-09-2040,jcb,2
369-22-2738,americanexpress,1
369-22-2738,jcb,1
369-22-2738,visa,1
369-58-8093,bankcard,1
369-58-8093,jcb,1
370-05-9145,instapayment,1
370-05-9145,jcb,1
370-05-9145,mastercard,1
370-09-7054,china-unionpay,1
370-09-7054,jcb,1
370-09-7054,switch,1
371-56-1423,jcb,2
372-14-6168,jcb,3
372-48-8899,china-unionpay,1
372-48-8899,jcb,1
373-68-9535,diners-club-enroute,1
373-68-9535,mastercard,1
374-13-2895,jcb,2
374-25-9731,jcb,1
374-25-9731,mastercard,1
375-91-2629,jcb,1
375-91-2629,switch,1
375-93-3225,diners-club-enroute,1
375-93-3225,diners-club-us-ca,1
375-93-3225,jcb,1
376-33-0923,jcb,1
376-33-0923,maestro,1
376-33-0923,solo,1
376-90-0270,americanexpress,1
376-90-0270,bankcard,1
376-90-0270,laser,1
377-01-2603,jcb,1
377-01-2603,maestro,1
378-66-4744,jcb,1
378-66-4744,mastercard,1
379-76-6548,maestro,2
381-20-5554,jcb,2
381-26-8128,mastercard,1
381-26-8128,visa,1
381-58-4369,maestro,1
381-58-4369,visa-electron,1
381-69-2442,jcb,2
382-08-8905,jcb,1
382-08-8905,switch,1
382-20-7851,jcb,1
382-20-7851,visa-electron,1
382-41-9161,instapayment,1
382-41-9161,maestro,1
382-48-7184,bankcard,1
382-48-7184,diners-club-us-ca,1
382-48-7184,mastercard,1
383-12-8771,bankcard,1
383-12-8771,jcb,1
383-12-8771,mastercard,1
383-33-6672,bankcard,1
383-33-6672,switch,1
383-82-5166,jcb,1
383-82-5166,switch,1
384-36-5907,jcb,1
384-36-5907,visa-electron,1
384-57-0674,americanexpress,1
384-57-0674,jcb,1
385-21-9219,americanexpress,1
385-21-9219,jcb,1
385-66-6432,diners-club-enroute,1
385-66-6432,switch,1
385-94-4362,jcb,1
385-94-4362,laser,2
386-49-8734,mastercard,1
386-49-8734,visa-electron,1
387-95-1615,jcb,1
387-95-1615,visa-electron,1
388-23-7257,jcb,1
388-23-7257,maestro,1
389-36-4337,americanexpress,1
